id_amat;nome;linee;LONG_X_4326;LAT_Y_4326;Location
954;GESSATE;2;9.43662513013151;45.545287231276;"(45.545287231276, 9.43662513013151)"
955;GERUSALEMME;5;9.16677778724863;45.4845217522064;"(45.4845217522064, 9.16677778724863)"
956;GARIBALDI FS;"2,5";9.18674240788565;45.4836397010296;"(45.4836397010296, 9.18674240788565)"
957;GAMBARA;1;9.14302800790081;45.4648963010345;"(45.4648963010345, 9.14302800790081)"
958;FAMAGOSTA;2;9.168012607887;45.4368950010352;"(45.4368950010352, 9.168012607887)"
959;DUOMO M3;3;9.18861101005318;45.4639037177197;"(45.4639037177197, 9.18861101005318)"
960;DUOMO M1;1;9.18959606423539;45.4646220563982;"(45.4646220563982, 9.18959606423539)"
961;DOMODOSSOLA;5;9.16226040292661;45.4816190261232;"(45.4816190261232, 9.16226040292661)"
962;DERGANO;3;9.17960310789145;45.5055370010281;"(45.5055370010281, 9.17960310789145)"
963;DE ANGELI;1;9.14956580789837;45.4664306010339;"(45.4664306010339, 9.14956580789837)"
964;CROCETTA;3;9.19510340787866;45.4565508010315;"(45.4565508010315, 9.19510340787866)"
965;CRESCENZAGO;2;9.24819330786369;45.5052544010232;"(45.5052544010232, 9.24819330786369)"
966;CORVETTO;3;9.22346950786506;45.4404109010309;"(45.4404109010309, 9.22346950786506)"
967;CORDUSIO;1;9.18623540788344;45.4655319010313;"(45.4655319010313, 9.18623540788344)"
968;CONCILIAZIONE;1;9.16648700789168;45.4675341010325;"(45.4675341010325, 9.16648700789168)"
969;COMASINA;3;9.16372910790087;45.5281326010273;"(45.5281326010273, 9.16372910790087)"
970;COLOGNO SUD;2;9.27492710785488;45.5202131010199;"(45.5202131010199, 9.27492710785488)"
971;COLOGNO NORD;2;9.29109410785023;45.5343028010175;"(45.5343028010175, 9.29109410785023)"
972;COLOGNO CENTRO;2;9.2829642078526;45.5274782010187;"(45.5274782010187, 9.2829642078526)"
973;CIMIANO;2;9.24142570786573;45.5000415010242;"(45.5000415010242, 9.24142570786573)"
974;CERNUSCO SUL NAVIGLIO;2;9.33137771302968;45.5210690111993;"(45.5210690111993, 9.33137771302968)"
975;CENTRALE FS;"2,3";9.20261280787934;45.4844397010284;"(45.4844397010284, 9.20261280787934)"
976;CENISIO;5;9.17194683918035;45.4874900006087;"(45.4874900006087, 9.17194683918035)"
977;CASSINA DE PECCHI;2;9.36312160213117;45.521864033703;"(45.521864033703, 9.36312160213117)"
978;CASCINA GOBBA;2;9.26051020785954;45.5114424010218;"(45.5114424010218, 9.26051020785954)"
979;CASCINA BURRONA;2;9.29783542421091;45.5173643568875;"(45.5173643568875, 9.29783542421091)"
980;CASCINA ANTONIETTA;2;9.42350019149011;45.5420794775495;"(45.5420794775495, 9.42350019149011)"
981;CAIROLI;1;9.18202500788552;45.4683672010313;"(45.4683672010313, 9.18202500788552)"
982;CAIAZZO;2;9.20940940787671;45.4853182010279;"(45.4853182010279, 9.20940940787671)"
983;CA GRANDA;5;9.20111030788298;45.5072425010265;"(45.5072425010265, 9.20111030788298)"
984;CADORNA FN M2;2;9.17710240788748;45.4681551010317;"(45.4681551010317, 9.17710240788748)"
985;CADORNA FN M1;1;9.17642630788776;45.4681953010317;"(45.4681953010317, 9.17642630788776)"
986;BUSSERO;2;9.37589692165833;45.5253016625452;"(45.5253016625452, 9.37589692165833)"
